"","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED"
"27",693.4,734.25,775.2,781,703,737.6,693.8,797,677.8,632.5,671.8,803.2,630.8,684.6,831.2,744,703.2,684.4,756.6,693.6,647,746.25,671.8,666.666666666667
"28",1175,968.8,897,744,721.8,800.2,674.8,990.6,933.75,800,980.75,965.25,778.2,890.6,881.4,1166.33333333333,724.8,909.2,778,1049.6,703.2,847.75,859.6,759.6
"29",993.6,984.4,903.2,993.6,665.6,734.5,719.2,971.6,766,984.25,812.4,715.8,762.6,950.2,824.25,946.8,553.2,921.8,750,790.6,818.6,925,737.4,865.8
"3",831.2,789.25,698,903,737.2,874.8,1003.75,1053.4,784.4,846.6,981.4,768.8,775.2,959.4,793.8,815.6,797,787.6,706.2,903.6,700,793.8,740.8,794
"30",755.333333333333,899.8,925.5,718.75,804.5,759.4,903.2,768.8,887.4,953,1003.2,643.8,825.2,778,652.8,693.8,700,769.5,640.25,690.4,646.6,840.6,687.6,656
"31",762.6,698.333333333333,734,834.4,668.8,634.2,745.75,715.4,640.6,664.25,695.25,755,625,731.4,846.6,706.2,699.8,668.8,753.2,731,550,606.2,862.8,853.2
"32",722.2,768.6,825,850.2,734.6,875,825.2,956,750,820.75,874.8,815.8,722,738.25,774.8,781.25,818.8,734.25,690.6,844,718.8,756.2,684.2,781.2
"33",630,812.6,728.2,693.8,818.4,725.2,743.8,800,721.8,1004,644.2,684.4,784.4,712.2,693.8,664.25,793,622,637.4,696.8,768.6,700.2,628.2,606.4
"34",1109,1003.4,918,1027.25,719,775.4,874.8,1012.6,825,1103.2,727.6,899.6,821.8,856.4,881.2,872,781.2,890.6,771.6,1003,722,728.2,968.6,937.4
"35",882.5,734.25,597,834.4,737.2,625,662.6,722.75,707.25,668,615.8,837.4,640.4,687.6,678.4,671.8,631.2,750,662.6,703.2,725,662.4,600.2,628
"36",746.8,659,605.5,721.8,637.4,778.2,622,731.6,659.2,731.4,812.8,756.4,569,660.5,675.2,640.666666666667,637.2,603,621.8,746.25,584.2,531.2,671.8,624.8
"37",718.75,754,762.4,693.8,587.4,690.6,789,571.8,756,734.25,615.6,631.4,728.2,893.4,606.2,715.8,587.8,590.6,581.2,637.2,593.6,621.8,656.4,812.6
"38",1131.6,1103,800,737.6,865.4,1134.6,997,912.4,690.8,1162.2,940.4,831,812.25,1037.8,1006.2,974.8,897,962.4,909.4,852.8,1093.6,1003.2,740.8,943.6
"39",1128.4,1006.6,1203,915.6,1137.4,1046.8,872,837.4,1175,1456.2,925,812.4,1234.4,1129,804.75,837.2,1184.4,987.4,659.4,1190.4,786.333333333333,1027.75,712.4,834.2
"4",828.2,1025,1195.25,1131.2,1059.4,906.4,884.4,1191.25,747,940.6,906.2,987.6,834.2,859.25,784.4,992.25,784,702.8,865.6,990.4,806.4,859.6,834.2,1068.8
"40",850.2,1040.6,976.5,1037.2,1015.8,756,1327.75,1168.8,918.6,1156.25,1118.6,1019.75,1304.5,1184.4,809.4,868.8,822,1028.4,1085.75,1015.6,900.4,993.6,1009.4,859.25
"41",778,870.75,903,1054.5,715.8,800,853.2,896.8,799.4,812.6,1125,884.2,800,975,831.4,996.6,687.2,890.8,943.6,793.6,897.2,912.6,797.25,959.4
"42",1103.4,803,1006.4,1097,1006,777.25,828.4,930,1028.4,894.5,868.6,793.6,962.2,816.25,1078.2,859.6,987.4,903.2,881,1037.4,1015.4,1100,1068.6,862.6
"43",850.2,944.2,921.666666666667,1240.6,1084.4,912.2,757.75,1184.4,731.2,734.4,850,1134.6,896.6,946.8,1261.75,940.4,781.6,903.2,859.6,875,893.8,837.6,853.4,1069
"44",793.8,809,738.25,790.8,850,799.8,687.8,762.2,840.8,743.8,746.8,981.4,850,847.5,765.8,785.25,840.8,847,715.4,734.5,726.25,771.6,746.8,768.6
"45",753,832.5,875.2,1081.2,712.4,699.8,652.75,796.8,743.8,897,761.5,922,740.6,672,856,906.2,584,702.8,712.8,859.6,756.2,820,802.8,890.75
"46",769.5,885.333333333333,762.4,827.8,815.6,953.4,912.6,778,884.4,762.4,823,919,753,794,719.2,962.4,681.6,759.6,757.75,728.2,808.5,893.8,844,918.6
"47",803,799.8,843.4,759.2,784.4,793.8,690.4,757.75,756.4,753.2,711,837.4,722.5,790.8,784.4,863.5,600,728.2,758,859.5,769.5,902.5,757.75,756.4
"48",687.4,650,634.4,806,706.4,606.2,750.25,499.75,728.2,640.6,537.6,750,615.6,734.75,562.6,618.8,559.4,582,640.75,583.333333333333,628.2,622,603.2,637.4
"49",912.8,1109.5,825,918.4,1046.75,1093.6,780.8,815.6,909.5,887.4,797,952.8,1027.8,1006.2,768.6,893.8,840.8,843.8,821.6,950.2,878,930,797,978.2
