"","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED"
"43",851.6,795.6,786.4,826.75,755.2,817.6,753,817.6,761.2,854.25,776.8,864.4,851.8,864.4,917.4,854.8,733.4,711.4,727.2,792.6,807.25,789.4,789.4,823
"44",854.25,895.4,798.6,730,701.8,708.2,745,877,826.4,873.8,683.2,798.8,929.8,911,789.2,674.2,771,780.5,1001.8,836.2,886,1014,842.4,667.6
"45",725.5,1070.4,893,1061,846.75,1037.25,938.8,854.25,717.4,862,1089,827,786.2,1092,770.6,1067,749,898.4,948.6,870.8,617.6,942.2,898.6,1092.2
"46",717.25,692.8,770.6,724,586.2,717.8,783.4,737.5,555.2,627.2,720.6,851.8,671,845.6,733.2,798.8,627.75,898.8,773.4,839.2,517.8,683.2,904.8,727.2
"47",803.25,775,736.4,698.25,751.8,714.4,786.4,772.25,652,834.5,677,895.2,655.2,854.25,749.25,671,708.4,748.8,689.4,680.2,723.8,651.25,611.4,798.6
"48",986,1049.25,1996.5,1035.6,820.6,1441.6,1232.4,772.25,1095.4,974.75,727,1045.5,1260,1107.5,1472.8,1110.6,791.75,1167,1063.8,854.25,1129.4,957.8,861.2,1016.8
"49",702.2,780.2,701.8,876.6,764.4,801.6,801.8,808.4,760.75,789.2,823.8,761,680.2,870.4,774,699.2,648.6,673.8,842.4,717.6,795.75,786.2,677.2,784
"50",787.75,702,1072.5,915.333333333333,530.4,930,823.4,853.75,739.4,889,942.4,815,718,602.2,772.5,904.666666666667,695.8,683.2,848.6,985.8,805,664.6,764,817.4
"51",792.4,803.25,736.2,867.4,898.8,854.5,670.8,701.8,823.8,830.2,635.25,652,739.4,757.8,807.5,777,667.8,674,612.5,758.4,751.8,742.6,608.6,686.6
"52",780,810.75,1194.8,1213.8,817.6,964.2,1181.5,1116.8,1017.2,917,1025.25,1259.5,1048.2,1033.5,992.2,1176,886.6,907.8,1001.8,911.4,770.6,967.5,995.4,935.8
"53",839.2,770.6,736,695.8,764.4,795.6,618.666666666667,645.8,686.8,754,699,702,652.2,725.5,680.2,744.75,776.25,817.6,558.4,602.2,602.2,789.4,577.2,574.6
"54",786.2,808.2,867.4,767.6,814.2,882.8,830.75,864,714.6,741,801.8,926.8,815.25,745,758.2,727,602,764.4,854.8,920.6,723.8,711.4,761,898.4
"55",1035.8,1004.6,1254.2,1379,1232.6,992.2,1459,1213.6,761.2,961.4,1409.33333333333,1098.2,772,1010.6,992.2,820.6,780.4,838.5,893.5,801.6,1042,1023.4,992.2,923.6
